timestamp_utc_iso,interval_seconds,leq_dbfs,peak_dbfs,estimated_db_spl,calibration_offset_db,battery_percent,battery_temp_c,charging,temperature_c,humidity_percent,wind_speed_mps,weather_timestamp_utc_iso
2026-08-17T21:50:13.974Z,5,-68.7379,-43.4605,,,85,30.9,0,,,,
2026-08-17T21:50:19.032Z,5,-67.1337,-38.0533,,,85,30.9,0,,,,
2026-08-17T21:53:26.788Z,5,-61.6733,-34.8041,,,85,31.5,0,,,,
2026-08-17T21:53:31.787Z,5,-55.7904,-30.3003,,,85,31.5,0,23.7,56,3.8,2026-08-17T21:53:27.109Z
2026-08-17T21:53:36.824Z,5,-55.0524,-39.8341,,,85,31.5,0,23.7,56,3.8,2026-08-17T21:53:27.109Z
2026-08-17T21:53:41.827Z,5,-52.9439,-39.28,,,85,31.5,0,23.7,56,3.8,2026-08-17T21:53:27.109Z
2026-08-17T21:53:46.884Z,5,-50.3826,-16.0779,,,85,31.5,0,23.7,56,3.8,2026-08-17T21:53:27.109Z
2026-08-17T21:53:51.945Z,5,-55.3983,-39.28,,,85,31.5,0,23.7,56,3.8,2026-08-17T21:53:27.109Z
2026-08-17T21:53:56.984Z,5,-51.9861,-39.7307,,,85,31.5,0,23.7,56,3.8,2026-08-17T21:53:27.109Z
2026-08-17T21:54:01.985Z,5,-57.0137,-38.0533,,,85,31.5,0,23.7,56,3.8,2026-08-17T21:53:27.109Z
2026-08-17T21:54:07.046Z,5,-52.9003,-27.4237,,,85,31.5,0,23.7,56,3.8,2026-08-17T21:53:27.109Z
2026-08-17T21:54:12.104Z,5,-67.2598,-42.2466,,,85,31.5,0,23.7,56,3.8,2026-08-17T21:53:27.109Z
2026-08-17T21:54:17.147Z,5,-64.5951,-39.4774,,,85,31.5,0,23.7,56,3.8,2026-08-17T21:53:27.109Z
2026-08-17T21:54:22.203Z,5,-67.2801,-38.645,,,85,31.5,0,23.7,56,3.8,2026-08-17T21:53:27.109Z
2026-08-17T21:54:27.205Z,5,-57.5535,-31.0427,,,85,31.5,0,23.7,56,3.8,2026-08-17T21:53:27.109Z
2026-08-17T21:54:32.266Z,5,-58.8659,-43.4605,,,85,31.5,0,23.7,56,3.8,2026-08-17T21:53:27.109Z
2026-08-17T21:54:37.306Z,5,-52.3227,-31.2049,,,85,31.5,0,23.7,56,3.8,2026-08-17T21:53:27.109Z
2026-08-17T21:54:42.370Z,5,-49.4973,-25.0695,,,85,31.5,0,23.7,56,3.8,2026-08-17T21:53:27.109Z
2026-08-17T21:54:47.423Z,5,-53.3592,-36.1746,,,85,31.5,0,23.7,56,3.8,2026-08-17T21:53:27.109Z
2026-08-17T21:54:52.426Z,5,-56.4625,-34.8772,,,85,31.5,0,23.7,56,3.8,2026-08-17T21:53:27.109Z
2026-08-17T21:54:57.467Z,5,-59.078,-33.1986,,,85,31.5,0,23.7,56,3.8,2026-08-17T21:53:27.109Z
2026-08-17T21:55:02.469Z,5,-60.4292,-39.2313,,,85,31.5,0,23.7,56,3.8,2026-08-17T21:53:27.109Z
2026-08-17T21:55:07.470Z,5,-57.8603,-35.6611,,,85,31.5,0,23.7,56,3.8,2026-08-17T21:53:27.109Z
2026-08-17T21:55:12.504Z,5,-58.3083,-37.6396,,,85,31.5,0,23.7,56,3.8,2026-08-17T21:53:27.109Z
